971000;Ritek Co.
972010;CDA Datentr¤ger Albrechts GmbH. 
972140;Optical Disc Manufacturing Equipment
972200;Woongjn Media Corp.
972210;Seantram Technology Inc.
972240;CIS Technology Inc.
972260;Acer Media Technology, Inc.
972300;Matsushita Electric Industrial Co.,Ltd.
972310;Doremi Media Co.,Ltd.
972400;Taiyo Yuden Company Limited
972410;SONY Corporation 
972420;Computer Support Italy s.r.l.
972430;UNITECH JAPAN INC
972440;Princo Corporation
972520;Hitachi Maxell, Ltd. 
972530;Infodisk Tech. Co. Ltd 
972540;Vivastar AG
972550;AMS Techology Inc
972560;Xcitek Inc.
972600;FORNET INTERNATIONAL PTE LTD.
972610;POSTECH Corporation
972620;SKC Co.,Ltd
972630;OPTICAL DISC CORPRATION
972640;FUJI Photo Film Co., Ltd.
972650;Lead Data Inc.
972660;CMC Magnetics Corporation
972700;Digital Storage Technology Co. Ltd.
972710;Plasmon Data systems Ltd.
972720;Princo Corporation
972730;Pioneer Video Corporation
972740;Kodak Japan Limited
972750;Mitsui Chemicals, Inc.
972760;Ricoh Company Limited
972810;GIGASTORAGE CORPORATION
972820;Multi Media Masters & Machinary SA 
972830;Corporation Auvistar Industry Co.,Ltd.
972840;King Pro Mediatek Inc.
972900;Taeil Media Co.,Ltd
972910;Vanguard Disc Inc.
973010;CDA Datentrager Albrechts GmbH
973100;Ritek Co.
973130;Grand Advance Techology Ltd.
973200;TDK Corporation
973210;Prodisc Technology Inc.
973300;CDA COMPACT DISC ALBRECHTS GMBH
973420;Mitsubishi Chemical Corporation
974500;FORNET INTERNATIONAL PTE LTD.
974510;UNITECH JAPAN INC
974540;CIS Technology Inc.
974560;Xcitek Inc.
974600;Taiyo Yuden Company Limited
974610;SONY Corporation 
974620;Multi Media Masters & Machinary SA 
974630;Computer Support Italy
974640;FUJI Photo Film Co., Ltd.
974650;Corporation Auvistar Industry Co.,Ltd.
974660;CMC Magnetics Corporation
974710;Hitachi Maxell Ltd.
974720;Princo Corporation
974740;POSTECH Corporation
974750;Ritek Co.
974760;Prodisc Technology Inc.
974800;Ricoh Company Limited
974810;Kodak Japan Limited
974820;Plasmon Data systems Ltd.
974830;Pioneer Video Corporation
974840;DIGITAL STORAGE TECHNOLOGY CO.,LTD
974850;Mitsui Chemicals,Inc.
974860;Lead Data Inc.
974900;TDK Corporation
974910;GIGASTORAGE CORPORATION
974920;King Pro Mediatek Inc.
974960;Matsushita Electric Industrial Co.,Ltd.
975010;Vanguard Disc Inc.
975020;Mitsubishi Chemical
975030;CDA Datentrager Albrechts GmbH
975110;Grand Advance Techology Ltd.
975120;Infodisk Tech. Co. Ltd 
